Parallax,"""星察"""
Karak,"""卡拉克"""
Karak Wraith,"""卡拉克亡魂"""
Karyst,"""凯洛斯特"""
Kaszas,"""死亡使徒"""
Kestrel,"""红隼"""
Knux,"""克纳克斯"""
Kogake,"""科加基"""
Kohm,"""寇恩热能枪"""
Kraken,"""北海巨妖"""
Kronen,"""皇家拐刃"""
Kohmak,"""寇恩霰机枪"""
Kunai,"""苦无"""
Kulstar,"""杀星"""
Lanka,"""兰卡"""
Lato,"""拉托"""
Lato Prime,"""拉托Prime"""
Lato Vandal,"""拉托破坏者"""
Latron,"""拉特昂"""
Latron Prime,"""拉特昂Prime"""
Latron Wraith,"""拉特昂亡魂"""
Lecta,"""勒克塔"""
Secura Lecta,"""保障勒克塔"""
Lex,"""雷克斯"""
Lex Prime,"""雷克斯Prime"""
Machete,"""马谢特砍刀"""
Machete Wraith,"""马谢特砍刀亡魂"""
Magistar,"""执法者"""
Sancti Magistar,"""圣洁执法者"""
Magnus,"""麦格努斯"""
Mara Detron,"""苦痛德特昂"""
Marelok,"""玛瑞火枪"""
Mutalist Quanta,"""异融量子枪"""
Mire,"""米尔"""
Miter,"""米特尔"""
MK1-Braton,"""MK1-布莱顿"""
MK1-Bo,"""MK1-玻之武杖"""
MK1-Furax,"""MK1-弗拉克斯"""
MK1-Kunai,"""MK1-苦无"""
Nami Skyla,"""海波斯库拉对剑"""
Nami Solo,"""海波单剑"""
Nikana,"""侍刃"""
Sheev,"""希芙"""
Ninkondi,"""降灵追猎者"""
Nukor,"""努寇微波枪"""
Obex,"""奥比克斯"""
Ogris,"""食人女魔"""
Onorix,"""奥努里克斯"""
Opticor,"""奥堤克光子枪"""
Orthos,"""欧特鲁斯"""
Orthos Prime,"""欧特鲁斯Prime"""
Pangolin Sword,"""鲮鲤剑"""
Panthera,"""猎豹"""
Paris,"""帕里斯"""
MK1-Paris,"""MK1-帕里斯"""
Paris Prime,"""帕里斯Prime"""
Phaedra,"""菲德菈"""
Phage,"""噬菌者"""
Plasma Rifle,"""等离子步枪"""
Plasma Sword,"""等离子长剑"""
Laser Rifle,"""激光步枪"""
Paracyst,"""附肢寄生者"""
Prime Laser Rifle,"""激光步枪Prime"""
Prisma Burst Laser,"""棱晶激光点发"""
Prisma Dual Cleavers,"""棱晶斩肉双刀"""
Prisma Gorgon,"""棱晶蛇发女妖"""
Prisma Grakata,"""棱晶葛拉卡达"""
Prisma Skana,"""棱晶空刃"""
Prisma Tetra,"""棱晶特拉"""
Prisma Veritux,"""棱晶真理巨剑"""
Prova,"""普罗沃"""
Prova Vandal,"""普罗沃破坏者"""
Pyrana,"""食人鱼"""
Pyrotechnic Ogris,"""烈焰食人女魔"""
Penta,"""潘塔"""
Quanta,"""量子切割器"""
Quanta Vandal,"""量子切割器破坏者"""
Rakta Ballistica,"""绯红布里斯提卡"""
Rakta Cernos,"""绯红西诺斯"""
Rathbone,"""拉斯波恩"""
Reaper,"""收割者"""
Reaper Prime,"""收割者Prime"""
Redeemer,"""救赎者"""
Ripkas,"""锐卡斯"""
Sancti Castanas,"""圣洁雷爆信镖"""
Sancti Tigris,"""圣洁猛虎"""
Tigris Prime,"""猛虎Prime"""
Sarpa,"""蛇刃"""
Pox,"""脓痘"""
Secura Dual Cestra,"""保障锡斯特双枪"""
Secura Penta,"""保障潘塔"""
Seer,"""预言者"""
Serro,"""电能斩锯"""
Sicarus,"""暗杀者"""
Sicarus Prime,"""暗杀者Prime"""
Silva & Aegis,"""席瓦&神盾"""
Simulor,"""重力奇点拟成枪"""
Scindo,"""分裂斩斧"""
Scindo Prime,"""分裂斩斧Prime"""
Scoliac,"""脊椎节鞭"""
Skana,"""空刃"""
Skana Prime,"""空刃Prime"""
Snipetron,"""狙击特昂"""
Snipetron Vandal,"""狙击特昂破坏者"""
Sobek,"""鳄神"""
Soma,"""月神"""
Soma Prime,"""月神Prime"""
Sonicor,"""超音波冲击枪"""
Spectra,"""光谱切割器"""
Spira,"""旋刃飞刀"""
Spira Prime,"""旋刃飞刀Prime"""
Talons,"""鹰爪"""
Stug,"""史特克"""
Strun,"""斯特朗"""
Strun Wraith,"""斯特朗亡魂"""
Supra,"""苏普拉"""
Sweeper,"""扫除者"""
Sweeper Prime,"""扫除者Prime"""
Sybaris,"""席芭莉丝"""
Synapse,"""突触生化枪"""
Synoid Gammacor,"""枢议咖玛腕甲枪"""
Synoid Simulor,"""枢议重力奇点拟成枪"""
Tekko,"""铁钩手甲"""
Telos Akbolto,"""终极螺钉双枪"""
Telos Boltor,"""终极螺钉步枪"""
Tetra,"""特拉"""
Tiberon,"""狂鲨"""
Tigris,"""猛虎"""
Tipedo,"""提佩多"""
Torid,"""托里德"""
Tonbo,"""蜻蛉薙"""
Tonkor,"""征服榴炮"""
Twin Basolk,"""双子巴萨克"""
Twin Grakatas,"""双子葛拉卡达"""
Twin Gremlins,"""双子小精灵"""
Twin Vipers,"""双子蝰蛇"""
Tysis,"""啐沫者"""
Vasto,"""瓦斯托"""
Vasto Prime,"""瓦斯托Prime"""
Vaykor Hek,"""勇气海克"""
Vaykor Marelok,"""勇气玛瑞火枪"""
Vectis,"""守望者"""
Vectis Prime,"""守望者Prime"""
Velocitus,"""极速电磁步枪"""
Venka,"""凯旋之爪"""
Veritux,"""真理巨剑"""
Viper,"""蝰蛇"""
Vulkar,"""金工火神"""
Vulkar Wraith,"""金工火神亡魂"""
Vulklok,"""金工火枪"""
Weapon,"""武器"""
weapon,"""武器"""
Wraith Twin Vipers,"""亡魂双子蝰蛇"""
War,"""战争之剑"""
Broken-War,"""破碎的战争之剑"""
Mios,"""牡狮神"""
Shaku,"""双节尺棍"""
Sydon,"""恶龙"""
Vaykor Sydon,"""勇气恶龙"""
Lacera,"""悲痛之刃"""
Destreza,"""技巧之剑"""
Blink,"""闪瞬"""
Bloomer,"""高爆弹"""
Core Vent,"""核心通气"""
Cosmic Crush,"""星体震荡"""
Disarray,"""热诱弹"""
Energy Shell,"""能量护罩"""
Fighter Escort,"""护卫战机"""
Penumbra,"""半影屏蔽"""
Repel,"""脉冲震波"""
Seeking Fire,"""导弹"""
Thumper (Elytron),"""轰击"""
Warhead,"""毁灭弹头"""
Watchful Swarm,"""警惕机群"""
Benevolent Decoy,"""仁慈诱饵"""
Warding Grace,"""守护恩典"""
Vengeful Rush,"""复仇冲动"""
Counter Pulse,"""反转脉冲"""
Magnetize,"""磁吸力场"""
Polarize,"""护盾极化"""
Absorb,"""聚合吸收"""
Accelerant,"""助燃"""
Antimatter Drop,"""反物质释放"""
Avalanche,"""雪崩"""
Ballistic Battery,"""弹道蓄能"""
Banish,"""放逐"""
Bastille,"""力场牢狱"""
Blade Storm,"""剑刃风暴"""
Blessing,"""祝福"""
Bounce,"""弹跳平台"""
Bullet Attractor,"""子弹磁石"""
Cataclysm,"""灾变"""
Chaos,"""混乱"""
Cloud Walker,"""筋斗游云"""
Contagion,"""传染"""
Crush,"""粉碎"""
Decoy,"""诱饵"""
Defy,"""死命顽抗"""
Desecrate,"""亵渎"""
Dive Bomb,"""俯冲轰炸"""
Eclipse,"""黯然失色"""
Effigy,"""利欲龙骸"""
Electric Shield,"""电力屏障"""
Elemental Ward,"""元素之护"""
Energy Vampire,"""能量吸取"""
Exalted Blade,"""显赫刀剑"""
Fireball,"""火球"""
Fire Blast,"""火焰冲击"""
Fire Blast (Ruk),"""火焰冲击（Ruk）"""
Freeze,"""冻结"""
Hall of Mirrors,"""镜厅"""
Hallowed Ground,"""神圣领域"""
Hysteria,"""狂化爆发"""
Ice Wave,"""冰浪"""
Invisibility,"""隐身"""
Iron Jab,"""神针突刺"""
Iron Skin,"""钢化皮肤"""
Landslide,"""土石坍方"""
Link,"""链接"""
Mend & Maim,"""补愈-致残"""
Metamorphosis,"""昼夜交替"""
Mind Control,"""精神控制"""
Miasma,"""瘴气"""
Molecular Prime,"""分子填充"""
Molt,"""蜕皮"""
Null Star,"""湮灭流星群"""
Overload,"""超负荷"""
Pacify & Provoke,"""轻抚-激怒"""
Paralysis,"""瘫痪"""
Peacemaker,"""和平使者"""
Petrify,"""石化凝视"""
Primal Fury,"""原始狂怒"""
Prism,"""棱镜"""
Psychic Bolts,"""精神飞刃"""
Pull,"""吸引"""
Radial Blind,"""致盲"""
Radial Disarm,"""解除武装"""
Radial Javelin,"""标枪"""
Renewal,"""疗愈脉动"""
Reckoning,"""惩戒清算"""
Rest & Rage,"""暂息-怒气"""
Rhino Charge,"""犀牛冲锋"""
Rhino Stomp,"""犀牛践踏"""
Rift Walk,"""裂隙漫游"""
Rift Surge,"""裂隙涌流"""
Rip Line,"""撕裂钩索"""
Rippling Shockwave,"""涟漪冲击波"""
Roar,"""战吼"""
Rumblers,"""漫步石者"""
Seismic Shockwave,"""地震波"""
Silence,"""静音"""
Shuriken,"""手里剑"""
Shatter Shield,"""破碎护盾"""
Shock,"""电击"""
Shooting Gallery,"""靶场"""
Shadows Of The Dead,"""亡者幽影"""
Shadows of the Dead,"""亡者幽影"""
Slash Dash,"""突斩"""
Sleight Of Hand,"""戏法"""
Smite,"""惩击"""
Smoke Screen,"""烟幕"""
Snow Globe,"""冰雪护罩"""
Soul Punch,"""灵魂重击"""
Spectral Scream,"""光暴怒吼"""
Speed,"""加速"""
Sonar,"""声纳"""
Sonic Boom,"""超声波"""
Sound Quake,"""音波冲击"""
Super Jump,"""超级弹跳"""
Switch Teleport,"""移形换位"""
Tectonics,"""大地构筑"""
Teleport,"""瞬移"""
Tempest Barrage,"""暴风雨弹幕"""
Terrify,"""惊骇"""
Tidal Surge,"""潮汐浪涌"""
Tentacle Swarm,"""触角肆虐"""
Tail Wind,"""顺风"""
Tesla,"""特斯拉手榴弹"""
Turbulence,"""疾风湍流"""
Tornado,"""龙卷云风"""
Undertow,"""水漩涡"""
Vex Armor,"""怨怒护甲"""
Vortex,"""旋涡"""
Warcry,"""咆哮"""
Well Of Life,"""生命之井"""
World On Fire,"""火海"""
Worm Hole,"""虫洞"""
Quiver,"""战术箭袋"""
Navigator,"""导向抛体"""
Artemis Bow,"""月神狩弓"""
Prowl,"""潜影猎手"""
Dispel,"""驱散"""
Spore,"""毒性孢子"""
Spores,"""毒性孢子"""
Toxic Lash,"""剧毒鞭笞"""
Cloak Arrow,"""隐蔽之箭"""
Dashwire Arrow,"""悬丝之箭"""
Noise Arrow,"""喧扰之箭"""
Sleep Arrow,"""沉睡之箭"""
Fire Walker,"""风火飞轮"""
Blazing Chakram,"""乾坤火圈"""
Warding Halo,"""混天火绫"""
Divine Spears,"""圣火尖枪"""
Scarab Swarm,"""圣甲虫群"""
Desiccation,"""枯沙竭血"""
Sandstorm,"""吞天沙暴"""
Devour,"""沙涡之祭"""
Spellbind,"""迷尘"""
Tribute,"""献灵"""
Lantern,"""幻灯"""
Razorwing,"""剃刀之翼"""
Ceres,"""谷神星"""
Clan Dojo,"""氏族道场"""
Corpus Ice Planet,"""Corpus冰原星球"""
Corpus Gas City,"""Corpus集气城市"""
Corpus Outpost,"""Corpus哨站"""
Corpus Ship,"""Corpus飞船"""
Corpus Ship (Archwing),"""Corpus飞船（Archwing）"""
Corpus Trench Run,"""Corpus战壕追逐"""
Trench Run,"""战壕追逐"""
Dark Sector,"""黑暗地带"""
Dark Sectors,"""黑暗地带"""
Derelict,"""遗迹"""
Earth,"""地球"""
Eris,"""阋神星"""
Europa,"""欧罗巴"""
Free Space,"""外太空"""
Grineer Asteroid,"""Grineer小行星"""
Grineer Forest,"""Grineer丛林"""
Grineer Galleon,"""Grineer巨舰"""
Grineer Settlement,"""Grineer营地"""
Grineer Shipyard,"""Grineer船坞"""
Infested Ship,"""Infested飞船"""
Infested Ship (Archwing),"""Infested飞船（Archwing）"""
Planet,"""星球"""
Jupiter,"""木星"""
Mars,"""火星"""
Mercury,"""水星"""
Neptune,"""海王星"""
Orokin Derelict,"""被遗弃的Orokin船只"""
Orokin Void,"""Orokin虚空"""
Phobos,"""火卫一"""
Planets,"""星球"""
Pluto,"""冥王星"""
Relay,"""中继站"""
Saturn,"""土星"""
Sedna,"""赛德娜"""
Solar Rail,"""星际航道"""
Solar Rails,"""星际航道"""
Tower,"""堡垒"""
Uranus,"""天王星"""
Venus,"""金星"""
Void,"""虚空"""
Lua,"""月球"""
Orokin Moon,"""Orokin之月"""
Grineer Sealab,"""Grineer深海研究所"""
Simulacrum,"""幻影装置"""
Nightwatch Lancers,"""夜巡者枪兵"""
Sand Shadow,"""沙土幽灵"""
Executioners,"""行刑者"""
Gorth,"""行刑者Gorth"""
Reth,"""行刑者Reth"""
Garesh,"""行刑者Garesh"""
Harkonar,"""行刑者Harkonar"""
Nok,"""行刑者Nok"""
Vay Molta,"""行刑者Vay Molta"""
Zura,"""行刑者Zura"""
Dok Thul,"""行刑者Dok Thul"""
Hyekka Master,"""鬣猫驯兽师"""
Arcane Machine,"""法典仪器"""
Ancient Healer,"""远古治愈者"""
Ancient Disrupter,"""远古干扰者"""
Ancient Disruptor,"""远古干扰者"""
Anti MOA,"""逆进恐鸟"""
Arc Trap,"""电弧陷阱"""
Arctic Eximus,"""极寒卓越者"""
Attack Drone,"""无人机"""
Ballista,"""弩炮"""
Drekar Ballista,"""龙舰弩炮"""
Drekar Lancer,"""龙舰枪兵"""
Bombard,"""轰击者"""
Boiler,"""痈裂者"""
Brood Mother,"""病变虫母"""
Butcher,"""屠夫"""
Arid Butcher,"""沙漠屠夫"""
Drekar Butcher,"""龙舰屠夫"""
Frontier Butcher,"""前线屠夫"""
Captain Vor,"""Vor上尉"""
Captain Vor (Corrupted),"""堕落的Vor"""
Carrier (Enemy),"""母舰"""
Charger,"""疾冲者"""
Crawler,"""爬行者"""
Crewman,"""船员"""
Crewmen,"""船员"""
Comba,"""驱逐员"""
Sikula,"""水雷无人机"""
Commander,"""指挥官（敌人）"""
Corpus Power Carrier,"""Corpus能量运送者"""
Corpus Target,"""Corpus目标"""
Corpus Tech,"""Corpus技师"""
Corrupted Ancient,"""远古堕落者"""
Corrupted Bombard,"""堕落轰击者"""
Corrupted Butcher,"""堕落屠夫"""
Corrupted Crewman,"""堕落船员"""
Corrupted Heavy Gunner,"""堕落重型机枪手"""
Corrupted Lancer,"""堕落枪兵"""
Corrupted MOA,"""堕落恐鸟"""
Corrupted Nullifier,"""堕落虚能者"""
Corrupted Vor,"""堕落的Vor"""
Corvette,"""护卫舰"""
Councilor Vay Hek,"""Vay Hek委员"""
Shock Draga,"""电击疏浚兵"""
Darek Draga,"""疏浚兵长"""
Denial Bursa,"""守护金流恐鸟"""
Detron Crewman,"""德特昂船员"""
Desert Skate,"""沙漠鳐鱼"""
Infested Hive,"""感染巢囊"""
Disruptor Drone,"""破坏型无人机"""
Drahk Master,"""爪喀驯兽师"""
Drone,"""无人机"""
Drone Guardian,"""无人机守卫"""
Drover Bursa,"""驱引金流恐鸟"""
Isolator Bursa,"""隔离金流恐鸟"""
Dargyn,"""轻型艇"""
Drahk,"""爪喀"""
Dreg,"""无人机（Grineer空战）"""
Electric Crawler,"""电击爬行者"""
Elite Crewman,"""精英船员"""
Elite Lancer,"""精英枪兵"""
Drekar Elite Lancer,"""龙舰精英枪兵"""
Elite Arid Lancer,"""精英沙漠枪兵"""
Elite Frontier Lancer,"""精英前线枪兵"""
Eviscerator,"""开膛者"""
Arid Eviscerator,"""沙漠开膛者"""
Drekar Eviscerator,"""龙舰开膛者"""
Eximus,"""卓越者"""
Fan,"""扇叶"""
Flameblade,"""烈焰刀客"""
Fomorian,"""巨人战舰"""
Frigate,"""驱逐舰"""
Fusion MOA,"""熔岩恐鸟"""
Fusion MOA Guardian,"""熔岩恐鸟守卫"""
Fusion Drone,"""熔岩无人机"""
General Sargas Ruk,"""Sargas Ruk将军"""
Grate,"""铁格栅"""
Grineer Power Carrier,"""Grineer能量运送者"""
Grineer Target,"""Grineer目标"""
Grineer Warden,"""Grineer典狱长"""
Guardsman,"""禁卫军"""
Heat Generator,"""热能产生器"""
Heavy Gunner,"""重型机枪手"""
Arid Heavy Gunner,"""沙漠重型机枪手"""
Drekar Heavy Gunner,"""龙舰重型机枪手"""
Hellion,"""恶徒"""
Arid Hellion,"""沙漠恶徒"""
Drekar Hellion,"""龙舰恶徒"""
Hellion Dargyn,"""恶徒轻型艇"""
Hyena Pack,"""鬣狗群"""
Infested Tumor,"""Infested肿瘤"""
Jackal,"""豺狼"""
Jordas Golem,"""Jordas魔像"""
Juggernaut,"""巨兽"""
Juggernaut Behemoth,"""重装巨兽"""
Kubrow (Feral),"""野生库狛"""
Feral Kubrow,"""野生库狛"""
Hyekka,"""鬣猫"""
Kubrow Den,"""库狛兽穴"""
Lancer,"""枪兵"""
Arid Lancer,"""沙漠枪兵"""
Lancer Dreg,"""无人机枪兵"""
Laser Barrier,"""激光栅栏"""
Latcher,"""粘子"""
Leaper,"""奔跳者"""
Leech Osprey,"""吸血鱼鹰"""
Lobber Crawler,"""喷吐爬行者"""
Locust Drone,"""蝗虫无人机"""
Lieutenant Lech Kril,"""Lech Kril中尉"""
Lynx,"""山猫"""
Lynx Turret,"""山猫炮塔"""
Lynx Osprey,"""山猫鱼鹰"""
Maggot,"""蛆虫"""
Manic,"""狂躁者"""
Drekar Manic,"""龙舰狂躁者"""
Manic Bombard,"""狂躁轰击者"""
Drekar Manic Bombard,"""龙舰狂躁轰击者"""
Mine Osprey,"""地雷鱼鹰"""
Mining Machine,"""采矿车"""
MOA,"""恐鸟"""
Mutalist Alad V,"""异融Alad V"""
Mutalist Osprey,"""剧毒无人机"""
Napalm,"""火焰轰击者"""
Nauseous Crawler,"""呕心爬行者"""
Nullifier Crewman,"""虚能船员"""
Orbital Strike Drone,"""卫星冲击无人机"""
Orokin Drone,"""Orokin无人机"""
Orokin Turret,"""Orokin炮台"""
Osprey,"""鱼鹰"""
Oxium Osprey,"""奥席金属鱼鹰"""
Penta Ranger,"""潘塔突击队员"""
Power Carrier,"""能量运送者"""
Powerfist,"""重击手"""
Propaganda Drone,"""宣传无人机"""
Prosecutor,"""判官"""
Prod Crewman,"""监工船员"""
Quanta Ranger,"""量子切割器突击队员"""
Rampart,"""炮座壁垒"""
Ranger,"""突击队员"""
Raptor,"""猛禽"""
Zeplen,"""齐柏伦飞船"""
Railgun MOA,"""磁轨炮恐鸟"""
Regulator,"""调整者"""
Roller,"""滚子"""
Runner,"""狂奔者"""
Sapping Osprey,"""基蚀鱼鹰"""
Scavenger Drone,"""清道夫无人机"""
Scorch,"""怒焚者"""
Scorpion,"""天蝎"""
Drekar Scorpion,"""龙舰天蝎"""
Scrambus,"""扰敌员"""
Security Camera,"""监控摄像头"""
Seeker,"""追踪者"""
Arid Seeker,"""沙漠追踪者"""
Drekar Seeker,"""龙舰追踪者"""
Senser Bar,"""感应条"""
Sensor Bar,"""感应条"""
Reinforced Glass,"""强化玻璃"""
Sensor Regulator,"""感应调整者"""
Shield Dargyn,"""护盾轻型艇"""
Shield Lancer,"""盾枪兵"""
Shield Osprey,"""护盾鱼鹰"""
Shield-Hellion Dargyn,"""护盾恶徒轻型艇"""
Shockwave MOA,"""震荡恐鸟"""
Sniper Crewman,"""狙击手船员"""
Spark,"""火花"""
Specter (Enemy),"""魅影（敌方）"""
Specter (Tenno),"""魅影（友方）"""
Swarm Mutalist MOA,"""异融胞群恐鸟"""
Swarm-Mutalist MOA,"""异融胞群恐鸟"""
Tar-Mutalist MOA,"""异融焦油恐鸟"""
Tech,"""技师"""
Temporal Dreg,"""滞缓无人机"""
Feral Kavat,"""野生库娃"""
Kavat,"""库娃"""
the Grustrag Three,"""Grustrag三霸"""
The Grustrag Three,"""Grustrag三霸"""
The Sergeant,"""海军陆战队中士"""
Toxic Ancient,"""远古剧毒者"""
Toxic Crawler,"""剧毒爬行者"""
Toxin Injector,"""毒素注射器"""
Trooper,"""骑兵"""
Arid Trooper,"""沙漠骑兵"""
Drekar Trooper,"""龙舰骑兵"""
Artificer,"""技工"""
Attack Multalist,"""发射感染孢子"""
Bailiff,"""执法员"""
Corpus Warden,"""Corpus典狱长"""
Volatile Runner,"""爆炸奔跑者"""
Warden,"""典狱长"""
Zanuka Hunter,"""Zanuka猎犬"""
Conculyst,"""震荡使"""
Battalyst,"""武装使"""
Oculyst,"""全视使"""
Acolyte,"""追随者"""
acolyte,"""追随者"""
Torment,"""折磨"""
Malice,"""怨恨"""
Mania,"""躁狂"""
Angst,"""焦虑"""
Misery,"""苦难"""
Violence,"""暴力"""
Void Shade,"""虚空之影"""
Draga,"""疏浚兵"""
Adhesive Blast,"""凝胶爆破"""
Energy Conversion,"""能量转换"""
Health Conversion,"""生命转换"""
Cat's Eye,"""猫眼"""
Reflect,"""反射"""
Charm,"""招福"""
Mischief,"""顽皮"""
Pounce,"""猛扑"""
Sense Danger,"""危机感知"""
Sharpened Claws,"""磨锋之爪"""
Swipe,"""挥击"""
Territorial Aggression,"""侵略领土"""
Electromagnetic Shielding,"""电磁屏障"""
Acid Shells,"""酸性弹药"""
Fomorian Accelerant,"""巨人促进剂"""
Harkonar Scope,"""哈库那瞄准镜"""
Hunter's Bonesaw,"""猎人骨锯"""
Nightwatch Napalm,"""夜巡燃烧弹"""
Rift Strike,"""裂缝打击"""
Vulcan Blitz,"""火神闪击"""
Medi-Ray,"""医疗射线"""
Gilded Truth,"""镀金真相"""
Stinging Truth,"""过激真相"""
Concealed Explosives,"""内置炸药"""
Greedy Pull,"""贪婪吸引"""
Tectonic Fracture,"""构造裂缝"""
Ore Gaze,"""矿石凝视"""
Titanic Rumbler,"""巨大石者"""
Duality,"""二元性状"""
Calm & Frenzy,"""冷静与疯狂"""
Peaceful Provocation,"""和平挑衅"""
Accelerated Blast,"""加速冲击"""
Afterburn,"""续燃"""
Ammo Drum,"""弹鼓"""
Ammo Stock,"""霰弹扩充"""
Ancient Fusion Core,"""远古融合核心"""
Anemic Agility,"""乏能迅敏"""
Animal Instinct,"""动物本能"""
Antimatter Absorb,"""反物质吸收"""
Antitoxin (Mod),"""毒抗"""
Apex Predator,"""顶级掠食者"""
Arc Coil,"""电弧线圈"""
Argon Plating,"""氩晶装甲"""
Armored Agility,"""灵活装甲"""
Arrow Mutation,"""箭矢转换"""
Astral Twilight,"""星界微光"""
Atlantis Vulcan,"""深渊之火"""
Auger Strike,"""螺钻打击"""
Automatic Trigger,"""自动扳机"""
Auxiliary Power,"""辅助动力"""
Aviator,"""飞行员（MOD）"""
Bane of Corpus,"""灭亡Corpus"""
Bane of Grineer,"""灭亡Grineer"""
Bane of Infested,"""灭亡Infested"""
Primed Bane of Corpus,"""灭亡CorpusPrime"""
Primed Bane of Grineer,"""灭亡GrineerPrime"""
Primed Bane of Infested,"""灭亡InfestedPrime"""
Primed Pressure Point,"""压迫点Prime"""
Barrel Diffusion,"""弹头扩散"""
Battering Maneuver,"""机动冲撞"""
Berserker,"""狂战士"""
Bite,"""咬碎"""
Blade of Truth,"""真相之刃"""
Blaze,"""烈焰"""
Blazing Steel,"""炽烈坚刃"""
Bleeding Edge,"""血色刃缘"""
Bleeding Willow,"""血色万柳"""
Blind Justice,"""无明制裁"""
Blind Rage,"""盲怒"""
Blind Shot,"""盲目射击"""
Blunderbuss,"""雷筒"""
Bore,"""枪膛"""
Bounty Hunter,"""赏金猎人"""
Breach Loader,"""破裂填装"""
Bright Purity,"""光明纯净"""
Lasting Purity,"""永恒纯净"""
Winds of Purity,"""纯净之风"""
Broad Eye,"""广域之视"""
Brutal Tide,"""残暴浪潮"""
Burdened Magazine,"""过载弹匣"""
Burning Wasp,"""炙热黄蜂"""
Buzz Kill,"""败兴虐杀"""
Calculated Shot,"""精算射击"""
Capacitance,"""电容"""
Surging Dash,"""涌流突进"""
Rising Storm,"""风起云涌"""
Charged Chamber,"""蓄力装填"""
Charged Shell,"""充电弹头"""
Chilling Grasp,"""急冻控场"""
Chilling Reload,"""激冷装填"""
Clashing Forest,"""巨林冲击"""
Cleanse Corpus,"""净化Corpus"""
Cleanse Grineer,"""净化Grineer"""
Cleanse Infested,"""净化Infested"""
Cleaving Whirlwind,"""弧刃回天"""
Coiling Viper,"""毒蛇螺旋"""
Collision Force,"""冲击巨力"""
Combustion Beam,"""灼热光束"""
Combustion Rounds,"""燃烧弹头"""
Concussion Rounds,"""震荡弹头"""
Constitution,"""百折不挠"""
Contagious Spread,"""传染蔓延"""
Continuity,"""持久力"""
Continuous Misery,"""无尽苦难"""
Convulsion,"""痉挛"""
Seeking Fury,"""狂暴追猎"""
Coolant Leak,"""冷却液外泄"""
Corrosive Projection,"""腐蚀投射"""
Corrupt Charge,"""邪恶蓄力"""
Covert Lethality,"""致命匿杀"""
Crash Course,"""连续冲击"""
Smite Infusion,"""惩击洗礼"""
Creeping Bullseye,"""匍匐靶心"""
Crimson Dervish,"""赤红狂舞"""
Critical Deceleration,"""降速暴击"""
Critical Delay,"""关键延迟"""
Crossing Snakes,"""双蛇牙突"""
Crowd Dispersion,"""人群驱散"""
Crushing Ruin,"""月落乌啼"""
Cryo Rounds,"""低温弹头"""
Curative Undertow,"""疗愈漩涡"""
Cutting Edge,"""切割刃缘"""
Dead Eye,"""死亡之眼"""
Deep Freeze,"""深层冷冻"""
Decisive Judgement,"""果断裁决"""
Scattered Justice,"""散射正义"""
Shattering Justice,"""破碎正义"""
Default Stance,"""默认架式"""
Defiled Reckoning,"""亵渎清算"""
Detect Vulnerability,"""弱点侦测"""
Diamond Skin,"""钻石皮肤"""
Dig,"""挖掘（MOD）"""
Disruptor,"""冲击干扰"""
Dual Rounds,"""双重弹头"""
Eagle Eye,"""鹰眼"""
Efficient Transferral,"""高效传输"""
Eject Magazine,"""弹匣置换"""
Electrified Barrel,"""带电枪管"""
Eleventh Storm,"""终焉风暴"""
Enduring Strike,"""不朽打击"""
Energy Amplifier,"""能量扩散"""
Energy Channel,"""能量导引"""
Energy Inversion,"""能量转化"""
Energy Siphon,"""能量虹吸"""
Enemy Radar,"""侦敌雷达"""
Enemy Sense,"""敌人感应"""
Enhanced Durability,"""耐久强化"""
Equilibrium,"""均衡点"""
Escape Velocity,"""脱离速度"""
Exalted Blade (Stance),"""显赫刀剑（架式）"""
Expel Corpus,"""驱逐Corpus"""
Expel Grineer,"""驱逐Grineer"""
Expel Infested,"""驱逐Infested"""
Explosive Demise,"""爆散消亡"""
Extend,"""延展"""
Fanged Fusillade,"""尖牙连射"""
Fast Deflection,"""快速充能"""
Fast Hands,"""爆发装填"""
Fatal Acceleration,"""致死加速"""
Fatal Attraction,"""致命诱惑"""
Freeze Force,"""寒冰之力"""
Ferocity,"""凶恶终结"""
Fever Strike,"""热病打击"""
Final Harbinger,"""最终先驱"""
Finishing Touch,"""画龙点睛"""
Fireball Frenzy,"""狂热火球"""
Firestorm,"""烈焰风暴"""
Fired Up,"""过热射击"""
